prompt,completion
[Clickbait]: You Look Happy for Getting Second The ALDC Can't Win in Jersey (Season 3 Flashback) | Dance Moms [Unassuming and Terse]: ,Season 3 flashback of Dance Moms: The ALDC can't win in Jersey
[Clickbait]: “My Family And Their Problems” TikTok Trend | Pennies From Heaven TikTok Sound [Unassuming and Terse]: ,My relatives and their issues
[Clickbait]: (animated) 5E D&amp;D Eldritch Blast? [Unassuming and Terse]: ,5E D&amp;D Eldritch Blast
[Clickbait]: [Celeste Mod] spikejumps vs. cornerjumps Golden Strawberry [Unassuming and Terse]: ,[Celeste Mod] spikejumps vs. cornerjumps Golden Strawberry
[Clickbait]: [Working BGM] Comfortable music that makes you feel positive  -- Morning Mood -- Daily Routine [Unassuming and Terse]: ,Background music for a productive day
[Clickbait]: 【Ｓｍｏｋｅ　Ａｎｄ　Ｃｈｉｌｌ】 Lofi Chill Music ~ lofi hip hop mix ~ lofi beats to chill  study to [Unassuming and Terse]: ,Lofi hip hop mix for studying and chilling
"[Clickbait]: 🔴 Deep Focus 24/7 - Ambient Music For Studying, Concentration, Work And Meditation [Unassuming and Terse]: ",Ambient music for studying and concentration
"[Clickbait]: $1 vs $1,000,000 Hotel Room! [Unassuming and Terse]: ",Hotel room comparison
"[Clickbait]: $1 vs $500,000 Plane Ticket! [Unassuming and Terse]: ",Cost comparison of expensive and inexpensive plane tickets
"[Clickbait]: $70,000 Extreme Hide And Seek - Challenge [Unassuming and Terse]: ",Hide and seek challenge
[Clickbait]: 10 Crazy Fitness challenges; You have never seen before [Unassuming and Terse]: ,10 Workout Challenges to Try
[Clickbait]: 10 Hours 😻 Cat TV  No Ad Interruptions! 🐦 @LensMyth Bluebirds and Songbirds Video for Cats [Unassuming and Terse]: ,Cat TV with bluebirds and songbirds
[Clickbait]: 100 Days Building A Modern Underground Hut With A Grass Roof And A Swimming Pool [Unassuming and Terse]: ,Building an underground hut with a grass roof and swimming pool in 100 days
[Clickbait]: 100 Interesting Animal Moments Caught On Camera [Unassuming and Terse]: ,Animal moments caught on camera
[Clickbait]: 13 People You'll Meet at the POOL [Unassuming and Terse]: ,Pool people
[Clickbait]: 19 Brilliant Moves IN A ROW [Unassuming and Terse]: ,19 good moves in a row
[Clickbait]: 200 Elo Chess LOL [Unassuming and Terse]: ,Very bad Chess
[Clickbait]: 200 Incredible Things Caught on Camera. Best of the Month [Unassuming and Terse]: ,200 Things captured on film
[Clickbait]: 3 Most COMMON Chess MISTAKES [Unassuming and Terse]: ,3 common chess mistakes
[Clickbait]: 3 Vital Chess Opening Principles [Unassuming and Terse]: ,Chess opening principles
[Clickbait]: 5 Hour Timer [Unassuming and Terse]: ,5 Hour Timer
"[Clickbait]: 5 Signs You Have ADHD, Not Laziness [Unassuming and Terse]: ",Possible Symptoms of ADHD
[Clickbait]: 7 Baby DRAGON Pranks To Trick Your FRIENDS! [Unassuming and Terse]: ,Baby dragon pranks
[Clickbait]: A group of thieves steal USD 25 million from a drug cartel | Action English Movie | Draw [Unassuming and Terse]: ,Movie: Thieves steal from a drug cartel
[Clickbait]: A Happy Little Weekend Marathon! - The Joy of Painting with Bob Ross [Unassuming and Terse]: ,Weekend marathon with Bob Ross
[Clickbait]: ABANDONED 1600’s Mansion With EVERYTHING Left Inside ~ Frozen In Time [Unassuming and Terse]: ,Old house full of stuff left behind
"[Clickbait]: Abby Is Served With LAWSUIT Papers From a Dance Mom! (S5, E2) | Full Episode | Dance Moms [Unassuming and Terse]: ","Dance Moms (S5, E2)"
[Clickbait]: Actual Footage of my dad's Trip to School [Unassuming and Terse]: ,Dad goes to school
"[Clickbait]: Adam Sandler roasted by Dana Carvey, David Spade and Rob Schneider during Mark Twain Prize tribute [Unassuming and Terse]: ",Adam Sandler gets roasted during tribute ceremony
[Clickbait]: Adam Sandler: The 60 Minutes Interview [Unassuming and Terse]: ,Adam Sandler: The 60 minutes interview
[Clickbait]: All Christian denominations explained in 12 minutes [Unassuming and Terse]: ,Christian denominations explained
[Clickbait]: All Sports Golf Battle at The Masters [Unassuming and Terse]: ,All sports golf tournament
[Clickbait]: Amazing Invention- This Drone Will Change Everything [Unassuming and Terse]: ,New drone product release
[Clickbait]: Ancient Philosophers' Life Lessons People Wished They Knew Sooner [Unassuming and Terse]: ,Lessons from ancient philosophers' lives
[Clickbait]: Animals That Asked People for Help &amp; Kindness | Best moments of 2022 ! [Unassuming and Terse]: ,2022 best animal moments
[Clickbait]: April 2023 General Conference | Saturday Sessions [Unassuming and Terse]: ,April 2023 General Conference | Saturday Sessions
[Clickbait]: APRIL FOOLS In FORTNITE! [Unassuming and Terse]: ,April fools in Fortnite
[Clickbait]: ARY News Headlines | 10 PM | 30th March 2023 [Unassuming and Terse]: ,ARY news headlines | 10 PM | 30th March 2023
"[Clickbait]: Asteroid City - Official Trailer (2023) Scarlett Johansson, Tom Hanks, Margot Robbie [Unassuming and Terse]: ","Asteroid City - Official Trailer (2023) Scarlett Johansson, Tom Hanks, Margot Robbie"
"[Clickbait]: ASTEROID CITY Trailer (2023) Tom Hanks, Scarlett Johansson [Unassuming and Terse]: ","ASTEROID CITY Trailer (2023) Tom Hanks, Scarlett Johansson"
[Clickbait]: BARN FIND 1979 Camaro - UNREAL Transformation After 10 Years! Can We Revive It? [Unassuming and Terse]: ,1979 Camaro Found in a Barn
[Clickbait]: Behind the Counter at the Freshest Chicken Shop in Japan [Unassuming and Terse]: ,Behind the counter at a fresh chicken shop in Japan
"[Clickbait]: Ben Affleck on Air Premiere, Getting Michael Jordan’s Blessing &amp; Surprise Video Call with Matt Damon [Unassuming and Terse]: ",Ben Affleck talks about his movie with friends
[Clickbait]: Best Fails of the Year (So Far) 2022 [Unassuming and Terse]: ,Yearly fails compilation 2022
[Clickbait]: Best of lofi hip hop 2021 ✨ - beats to relax/study to [Unassuming and Terse]: ,Lofi hip hop songs for relaxing and studying 2021
[Clickbait]: Biggest Hits of the 2022-2023 NFL Season [Unassuming and Terse]: ,NFL Season Hits 2022-2023
[Clickbait]: Bro has a pet lion 🦁 #lion #pet #animals #wow #wildlife [Unassuming and Terse]: ,A man owns a lion as a pet.
[Clickbait]: Building your first base in a survival game [Unassuming and Terse]: ,Building your first base in a survival game
[Clickbait]: BUYING Everything in ONE COLOR for my Daughter *NO BUDGET 😱* [Unassuming and Terse]: ,Monotone Shopping Spree for My Kid's Outfit
[Clickbait]: Can 4 Guys Beat 1 Climbing Champion? [Unassuming and Terse]: ,4 vs 1 Climbing Battle
[Clickbait]: Can you watch without laughing? 100% Impossible [Unassuming and Terse]: ,Funny video compilation
[Clickbait]: Cell Phone Stereotypes [Unassuming and Terse]: ,Cell phone stereotypes
[Clickbait]: Classical Music for Brain Power - Mozart (6 Hours) [Unassuming and Terse]: ,Classical music for studying - Mozart (6 Hours)
[Clickbait]: Climbing Drills I'd do if i were a BEGINNER again (build confidence in your footwork) [Unassuming and Terse]: ,Beginner Climbing Drills for Footwork Confidence
[Clickbait]: Climbing in Rental shoes &amp; Gloves  - CHALLENGE [Unassuming and Terse]: ,Rental Shoe and Glove Climbing Challenge
[Clickbait]: Climbing with Adam Ondra - The World's Best Climber [Unassuming and Terse]: ,Climbing video featuring Adam Ondra
[Clickbait]: climbing with Alex Honnold   **Insane experience** [Unassuming and Terse]: ,Climbing Mountains with a Alex Honnold
[Clickbait]: Clips You Will See Only Once 😱 #shorts [Unassuming and Terse]: ,Shorts
[Clickbait]: COUNTER-STRIKE 2 IS GORGEOUS [Unassuming and Terse]: ,Quality graphics in Counter-Strike 2
"[Clickbait]: Cozy Coffee Shop Ambience with Relaxing Jazz Music, Rain Sounds and Crackling Fireplace - 8 Hours [Unassuming and Terse]: ",Coffee shop sounds for relaxation and study - 8 Hours
[Clickbait]: creativity is dead [Unassuming and Terse]: ,People are less creative than they used to be
[Clickbait]: Criminal Lawyer Reacts to Genius Afroman Video &amp; Breaks Down B.S Lawsuit By Police [Unassuming and Terse]: ,Criminal lawyer reacts to Afroman video
[Clickbait]: Curious Baby Seal Approaches Cameraman [Unassuming and Terse]: ,Baby Seal Approaches Camera
[Clickbait]: D&amp;D Cult procession [Unassuming and Terse]: ,D&amp;D Cult procession
[Clickbait]: David Goggins “You Must CHANGE YOUR MINDSET.” [Unassuming and Terse]: ,Changing Your Mindset with David Goggins
[Clickbait]: Daz Watches Worst Pageant Mums Ever [Unassuming and Terse]: ,Watching pageant moms
[Clickbait]: Deep Focus Music To Improve Concentration - 12 Hours of Ambient Study Music to Concentrate #341 [Unassuming and Terse]: ,Music for Focusing - 12 Hours #341
[Clickbait]: Disney Jazz: Relaxing Disney Jazz Cafe Music for Studying [Unassuming and Terse]: ,Disney Jazz for studying
[Clickbait]: Dog 'Saves' His Little Girl From The Ocean | The Dodo [Unassuming and Terse]: ,Dog jumps into water
[Clickbait]: Dogo Argentino dog video compilations | Dogo Argentino vs cane carso | dog video [Unassuming and Terse]: ,Dogo Argentino dog videos
[Clickbait]: Dogs who know Putin (Russian meme) #dog #Putin #shorts [Unassuming and Terse]: ,Dogs who know Putin (Russian meme)
[Clickbait]: Dominik Mysterio and The Judgment Day WALK OUT on Rey Mysterio's speech: WWE Hall of Fame 2023 [Unassuming and Terse]: ,: Dominik Mysterio walks out on Rey Mysterio's speech | WWE Hall of Fame 2023
"[Clickbait]: Dua Lipa, Calvin Harris, Coldplay, Martin Garrix &amp; Kygo, The Chainsmokers Style - Feeling Me [Unassuming and Terse]: ","Dua Lipa, Calvin Harris, Coldplay, Martin Garrix &amp; Kygo, The Chainsmokers - Feeling Me"
"[Clickbait]: Ed Sheeran, Martin Garrix, Avicii, Kygo, Dua Lipa, The Chainsmokers Style - Feeling Me [Vol.2] [Unassuming and Terse]: ","Ed Sheeran, Martin Garrix, Avicii, Kygo, Dua Lipa, The Chainsmokers - Feeling Me [Vol.2]"
[Clickbait]: ESCAPING 100 Layers of ICE vs CARDBOARD! [Unassuming and Terse]: ,Escaping ice and cardboard
"[Clickbait]: Farming 10,000,000 Melons in Minecraft [Unassuming and Terse]: ",Farming melons in Minecraft
"[Clickbait]: Fastest Obstacle Course Run Wins $10,000 [Unassuming and Terse]: ",Obstacle Course Race for Prize Money
[Clickbait]: Father and son shot dead in Cambridgeshire [Unassuming and Terse]: ,Father and son shot dead in Cambridgeshire
[Clickbait]: Film Theory: This is Disney’s WORST Fear! (Winnie the Pooh) [Unassuming and Terse]: ,Film Theory: Winnie the Pooh
[Clickbait]: Florence Pugh Sweats From Her Eyebrows While Eating Spicy Wings | Hot Ones [Unassuming and Terse]: ,Sweaty Florence Pugh Eats Spicy Wings | Hot Ones
[Clickbait]: FORGOTTEN 1968 Pontiac Bonneville - Will It RUN AND DRIVE After A Decade? [Unassuming and Terse]: ,1968 Pontiac Bonneville Restoration Attempt
[Clickbait]: Gamebred Boxing 4 - Roy Jones Jr vs Anthony Pettis | PRELIMS [Unassuming and Terse]: ,Gamebred Boxing 4 - Roy Jones Jr vs Anthony Pettis | Prelims
[Clickbait]: games w syk ironmouse corps!!! [Unassuming and Terse]: ,Games with Syk Ironmouse Corps
[Clickbait]: Gmod Deathrun Fall Guys Edition [Unassuming and Terse]: ,Gmod Deathrun | Fall Guys
"[Clickbait]: Going Through The Same Drive Thru 1,000 Times [Unassuming and Terse]: ",Continuously going through the same drive thru
"[Clickbait]: Gone too deep in Cali, Colombia! 🇨🇴 [Unassuming and Terse]: ","Exploring Cali, Colombia"
[Clickbait]: Hamster Escapes the Awesome Maze for Pets in real life 🐹 The Best Hamster Challenges [Unassuming and Terse]: ,Hamster pet maze
[Clickbait]: HERE'S HOW PROFESSIONALS DEEP CLEAN THINGS [Unassuming and Terse]: ,Professional cleaning techniques
"[Clickbait]: HERE'S WHY E3 GOT CANCELED, ASSASSIN'S CREED MIRAGE RELEASE LEAKED? &amp; MORE [Unassuming and Terse]: ",Assassin's creed mirage release leaked
[Clickbait]: Hit by 12 million [Unassuming and Terse]: ,Hit by 12 million
[Clickbait]: Hotel Stereotypes [Unassuming and Terse]: ,Hotel stereotypes
[Clickbait]: How I removed squatters in less than a day. [Unassuming and Terse]: ,Removing Squatters in a Day.
[Clickbait]: How it started VS How it’s going #shorts [Unassuming and Terse]: ,How it started and how it’s going (shorts)
[Clickbait]: How many pressure washers does it take to fly? [Unassuming and Terse]: ,Flying with pressure washers
[Clickbait]: How Rappers gonna be with this new AI Technology [Unassuming and Terse]: ,How rappers might use AI technology
[Clickbait]: How to build HOUSE UNDERGROUND from START to FINISH 15 days in the forest. WOODWORKING [Unassuming and Terse]: ,Building an Underground House
[Clickbait]: How To FIX Forward Head Posture (Hunched Forward) with 3 EASY Exercises [Unassuming and Terse]: ,3 Exercises for Fixing Forward Head Posture
[Clickbait]: How To Know if You Have Good Genetics for Bodybuilding [Unassuming and Terse]: ,How to know if you have good genetics for bodybuilding
[Clickbait]: How To Save Someone’s Life [Unassuming and Terse]: ,How to save someone's life
[Clickbait]: How to Win a Street Fight in 3 Seconds #shorts [Unassuming and Terse]: ,Street Fighting (shorts)
[Clickbait]: I Accidentally Went Live on Fortnite... [Unassuming and Terse]: ,Fortnite livestream mistake
[Clickbait]: I Ate The World’s Largest Slice Of Pizza [Unassuming and Terse]: ,Biggest pizza slice ever eaten
[Clickbait]: I BEAT ROBLOX DOORS SOLO WITHOUT USING A SINGLE KEY! [Unassuming and Terse]: ,Roblox Doors Solo completion without Keys
[Clickbait]: I Built the Ultimate Base in Minecraft Hardcore [Unassuming and Terse]: ,My hardcore Minecraft base
[Clickbait]: I Busted 500 Myths In GTA 5! [Unassuming and Terse]: ,Busting GTA 5 myths
[Clickbait]: I Explored MrBeast's Abandoned Minecraft Server [Unassuming and Terse]: ,Exploring an abandoned Minecraft server
[Clickbait]: I GOT RANDOMLY PAIRED AGAINST ERIC ROSEN [Unassuming and Terse]: ,Random pairing against Eric Rosen
[Clickbait]: I JUST BEAT MAGNUS CARLSEN [Unassuming and Terse]: ,Beating Magnus Carlsen
[Clickbait]: I Opened A FAKE Apple Store [Unassuming and Terse]: ,Fake Apple Store Experience
